Epoch,Train_Loss,Train_Acc,Train_Time,Val_Loss,Val_Acc,Val_Time,Learning_Rate,Momentum 
001,6.8373,0.0027,37.78,6.1409,0.0155,6.35,0.017063,0.9470
002,6.3627,0.0147,36.63,5.3459,0.0629,5.83,0.037691,0.9383
003,5.9842,0.0364,36.58,4.6836,0.1178,5.85,0.069295,0.9250
004,5.6198,0.0669,36.87,4.2472,0.1735,5.84,0.108063,0.9087
005,5.3215,0.0979,36.66,3.9194,0.2322,5.96,0.149318,0.8913
006,5.1333,0.1223,36.67,3.2788,0.3110,5.84,0.188083,0.8750
007,4.9714,0.1363,36.60,3.1814,0.3350,5.84,0.219683,0.8617
008,4.8121,0.1602,36.69,2.9230,0.3772,5.88,0.240305,0.8530
009,4.7311,0.1764,36.76,2.8358,0.3959,5.85,0.247462,0.8500
010,4.6345,0.1812,36.69,2.9578,0.3869,5.86,0.247227,0.8501
011,4.5747,0.1928,36.73,2.6584,0.4275,5.85,0.246524,0.8504
012,4.5597,0.1966,36.72,2.6877,0.4301,5.90,0.245355,0.8509
013,4.4954,0.2045,36.89,2.7336,0.4334,5.84,0.243724,0.8515
014,4.4539,0.2103,36.62,2.8509,0.4130,5.85,0.241639,0.8524
015,4.4593,0.2087,36.67,2.4138,0.4776,5.85,0.239106,0.8534
016,4.3892,0.2114,36.79,2.5421,0.4538,5.84,0.236135,0.8546
017,4.3744,0.2163,36.95,2.5404,0.4528,5.91,0.232738,0.8560
018,4.3639,0.2244,36.76,2.4505,0.4692,5.86,0.228928,0.8575
019,4.3152,0.2293,36.74,2.3910,0.4930,5.85,0.224718,0.8592
020,4.3230,0.2273,36.62,2.3445,0.4941,5.84,0.220125,0.8610
021,4.3119,0.2289,36.66,2.3517,0.4978,5.86,0.215167,0.8631
022,4.2807,0.2304,36.71,2.6447,0.4676,5.84,0.209862,0.8652
023,4.2587,0.2397,36.70,2.2874,0.5138,5.85,0.204230,0.8675
024,4.2704,0.2371,36.69,2.2542,0.5139,5.84,0.198293,0.8699
025,4.2433,0.2343,36.67,2.3165,0.5105,5.84,0.192073,0.8724
026,4.2378,0.2421,36.68,2.2810,0.5098,5.85,0.185594,0.8750
027,4.1898,0.2477,36.68,2.2769,0.5231,5.84,0.178880,0.8777
028,4.2071,0.2420,36.67,2.3692,0.5080,5.85,0.171957,0.8805
029,4.1984,0.2533,36.66,2.1964,0.5398,5.84,0.164851,0.8834
030,4.1856,0.2553,36.67,2.3450,0.5162,5.84,0.157589,0.8863
031,4.1608,0.2504,36.69,2.2487,0.5217,5.85,0.150198,0.8893
032,4.1405,0.2548,36.65,2.4173,0.5136,5.84,0.142707,0.8923
033,4.1761,0.2525,36.74,2.2446,0.5270,5.84,0.135144,0.8954
034,4.1117,0.2571,36.66,2.0802,0.5523,5.84,0.127538,0.8985
035,4.1026,0.2642,36.78,2.2060,0.5489,5.87,0.119918,0.9015
036,4.1098,0.2677,36.75,2.0337,0.5667,5.87,0.112311,0.9046
037,4.0673,0.2714,36.74,2.4025,0.5010,5.86,0.104749,0.9077
038,4.0354,0.2607,36.60,2.0476,0.5726,5.86,0.097258,0.9107
039,4.0321,0.2676,36.65,2.1294,0.5721,5.85,0.089868,0.9137
040,3.9942,0.2788,36.64,2.0888,0.5677,5.85,0.082606,0.9166
041,3.9889,0.2769,36.60,1.9347,0.5894,5.84,0.075500,0.9195
042,3.9552,0.2836,36.66,1.9319,0.6025,5.85,0.068577,0.9223
043,3.9462,0.2840,36.71,1.8577,0.6058,5.86,0.061863,0.9250
044,3.9173,0.2923,36.69,1.7607,0.6234,5.85,0.055384,0.9276
045,3.8666,0.3016,36.60,1.7465,0.6218,5.84,0.049164,0.9301
046,3.8497,0.3026,36.64,1.7237,0.6287,5.85,0.043227,0.9325
047,3.8342,0.3055,36.62,1.6823,0.6464,5.86,0.037596,0.9348
048,3.7766,0.3057,36.73,1.6118,0.6517,5.83,0.032291,0.9370
049,3.7458,0.3211,36.70,1.5616,0.6673,5.84,0.027333,0.9390
050,3.6792,0.3288,36.67,1.5200,0.6771,5.84,0.022741,0.9408
051,3.6297,0.3309,36.78,1.5006,0.6878,5.84,0.018532,0.9425
052,3.5845,0.3438,36.87,1.4346,0.6980,5.84,0.014722,0.9441
053,3.5331,0.3439,36.66,1.4517,0.7068,5.84,0.011325,0.9454
054,3.4943,0.3550,36.76,1.3892,0.7175,5.86,0.008355,0.9466
055,2.4948,0.6254,36.79,2.0313,0.7282,5.95,0.005822,0.9476
056,2.4417,0.6382,36.90,1.9962,0.7365,5.85,0.003737,0.9485
057,2.3987,0.6490,36.69,1.9695,0.7440,5.85,0.002107,0.9491
058,2.3680,0.6566,36.65,1.9525,0.7486,5.85,0.000938,0.9496
059,2.3458,0.6620,36.66,1.9447,0.7503,5.86,0.000235,0.9499
060,2.3364,0.6650,36.61,1.9441,0.7504,5.84,0.000001,0.9500
